CSE Marine Diagnostic Report
Customer: Denny Scully
Dealer: CSE (Test Boat)
Selected Mode: Mode 3
Submitted: 7/21/2026, 4:54:08 PM
Cap: CSE_Marine_E196

=== EEPROM ACTIVITY LOG ===
Firmware Version 3.2   Build 2026-07-07   Tag NS   ShipMode 3
LogIndex,TargPress,DHPressure,AHPressure,DLPressure,ALPressure,BattVoltage,AirToAdd,HeadMaxPress,RefVoltage,PumpRunCount,ChrgeCycCount,PumpInhFlag,ActLenDayKnt
00000,003.012,002.023,002.023,001.124,001.124,003.914,000.764,000.000,001.237,00000,00005,00000,08640
00001,003.012,001.888,002.023,001.124,001.124,003.914,000.764,000.000,001.237,00000,00000,00000,04301
00002,003.012,003.327,002.203,001.394,001.169,003.642,000.000,001.124,001.250,00086,00000,00000,07646
00003,003.012,003.237,002.338,002.203,001.304,003.642,000.000,000.000,001.250,00000,00000,00000,09634
00004,003.012,003.057,002.428,002.248,001.439,003.642,000.000,000.000,001.250,00000,00000,00000,07646
00005,003.012,003.417,002.563,002.203,001.529,003.642,000.000,000.000,001.250,00000,00000,00000,08555
00006,003.012,003.012,002.608,001.978,001.574,003.604,000.000,000.000,001.263,00000,00000,00000,08789
00007,003.012,002.832,002.653,001.933,001.619,003.604,000.090,000.000,001.263,00000,00000,00000,08346
00008,003.012,002.877,002.698,002.113,001.664,003.642,000.045,000.090,001.263,00003,00032,00000,09711
00009,003.012,002.698,002.698,001.753,001.664,003.681,000.225,000.000,001.250,00000,00052,00000,08158
00010,003.012,002.832,002.698,001.798,001.664,003.797,000.090,000.000,001.237,00000,00071,00000,06872
00011,003.012,002.922,002.743,001.798,001.664,003.797,000.045,000.000,001.237,00000,00014,00000,10408
00012,003.012,002.383,002.698,001.843,001.708,003.797,000.225,000.000,001.237,00000,00009,00000,07391
00013,003.012,002.563,002.698,001.753,001.708,003.797,000.225,000.000,001.237,00000,00022,00000,11640
00014,003.012,002.608,002.698,001.753,001.708,003.797,000.225,000.000,001.237,00000,00019,00000,05265
00015,003.012,002.832,002.698,001.708,001.708,003.875,000.090,000.000,001.237,00000,00064,00000,08291
00016,003.012,002.653,002.698,001.619,001.708,004.030,000.225,000.000,001.237,00000,00121,00000,08497
00017,003.012,002.563,002.698,001.529,001.708,003.991,000.225,000.000,001.237,00000,00120,00000,10347
00018,003.012,002.563,002.698,001.529,001.708,004.030,000.225,000.000,001.237,00000,00089,00000,07802
00019,003.012,002.788,002.698,001.529,001.708,004.030,000.225,000.000,001.237,00000,00062,00000,09682
00020,003.012,002.653,002.698,001.708,001.708,004.030,000.225,000.000,001.237,00000,00035,00000,07622
00021,003.012,002.832,002.698,001.619,001.708,004.030,000.090,000.000,001.237,00000,00069,00000,07080
00022,003.012,003.057,002.743,001.574,001.708,004.030,000.000,000.000,001.237,00000,00115,00000,10515
00023,003.012,002.832,002.743,001.664,001.708,004.030,000.090,000.000,001.237,00000,00094,00000,08709
00024,003.012,002.922,002.788,001.798,001.708,004.030,000.045,000.000,001.237,00000,00025,00000,08649
00025,003.012,003.462,002.877,002.023,001.753,004.069,000.000,000.000,001.237,00000,00074,00000,11177
00026,003.012,003.057,002.922,001.978,001.798,004.030,000.000,000.000,001.237,00000,00081,00000,12766
