CSE Marine Diagnostic Report
Customer: Greg Miedema
Dealer: CSE Testing
Expected Mode: Mode 4
Submitted: 8/14/2026, 3:43:52 PM
Cap: CSE_Marine_8187

=== EEPROM ACTIVITY LOG ===
Firmware Version 3.2   Build 2026-07-07   Tag NS   ShipMode 4
LogIndex,TargPress,DHPressure,AHPressure,DLPressure,ALPressure,BattVoltage,AirToAdd,HeadMaxPress,PumpFailKnt,PumpRunCount,ChrgeCycCount,PumpInhFlag,ActLenDayKnt
00000,003.282,002.248,002.248,001.214,001.214,004.030,000.764,000.000,00000,00000,00054,00000,08640
00001,003.282,002.473,002.293,001.259,001.214,003.759,000.000,001.079,00000,00059,00002,00000,06178
00002,003.282,002.967,002.383,001.933,001.304,003.759,000.135,000.000,00000,00000,00004,00000,11115
00003,003.282,002.518,002.383,002.158,001.394,003.681,000.674,000.450,00000,00023,00000,00000,06255
00004,003.282,003.732,002.563,002.293,001.529,003.642,000.000,000.000,00000,00000,00000,00000,11025
00005,003.282,003.552,002.698,002.563,001.664,003.642,000.000,000.000,00000,00000,00050,00000,06255
00006,003.282,003.552,002.788,002.473,001.753,003.642,000.000,000.000,00000,00000,00064,00000,07607
00007,003.282,003.327,002.877,002.293,001.843,003.642,000.000,000.000,00000,00000,00045,00000,10901
00008,003.282,003.282,002.922,002.293,001.888,003.681,000.000,000.000,00000,00000,00019,00000,07526
00009,003.282,002.518,002.877,002.248,001.933,003.642,000.270,000.000,00000,00000,00000,00000,09754
00010,003.282,002.518,002.832,002.203,001.978,003.604,000.225,000.540,00000,00028,00000,00000,08110
00011,003.282,003.777,002.967,002.293,002.023,003.565,000.000,000.540,00000,00033,00048,00000,09338
00012,003.282,003.912,003.102,000.315,001.798,003.604,000.000,000.000,00000,00000,00052,00000,07942
00013,003.282,003.642,003.192,002.383,001.888,003.604,000.000,000.000,00000,00000,00073,00000,11898
00014,003.282,003.552,003.237,002.473,001.978,003.642,000.000,000.000,00000,00000,00015,00000,05748
00015,003.282,004.136,003.372,002.383,002.023,003.642,000.000,000.000,00000,00000,00018,00000,08164
00016,003.282,002.653,003.282,002.293,002.068,003.642,000.000,000.000,00000,00000,00000,00000,08297
00017,003.282,002.563,003.192,002.248,002.113,003.642,000.090,000.000,00000,00000,00000,00000,08257
00018,003.282,002.608,003.102,002.293,002.158,003.604,000.090,000.540,00000,00007,00000,00000,09521
00019,003.282,003.732,003.192,002.338,002.203,003.642,000.000,000.540,00000,00009,00056,00000,07759
00020,003.282,003.147,003.192,002.383,002.248,003.604,000.045,000.000,00000,00000,00000,00000,09521
00021,003.282,004.271,003.327,002.203,002.248,003.604,000.000,000.495,00000,00001,00000,00000,07704
00022,003.282,002.608,003.237,002.158,002.248,003.604,000.045,000.000,00000,00000,00000,00000,08258
00023,003.282,002.518,003.147,002.113,002.248,003.604,000.045,000.495,00000,00001,00000,00000,10317
00024,003.282,002.338,003.057,002.068,002.248,003.604,000.045,000.450,00000,00001,00000,00000,07569
00025,003.282,002.383,002.967,002.068,002.248,003.604,000.045,000.540,00000,00006,00000,00000,09805
00026,003.282,002.698,002.922,001.888,002.203,003.565,000.090,000.540,00000,00003,00000,00000,08442
00027,003.282,002.113,002.832,001.798,002.158,003.565,000.090,000.495,00000,00005,00000,00000,07829
00028,003.282,002.068,002.743,001.753,002.113,003.565,000.135,000.495,00000,00008,00000,00000,07867
00029,003.282,002.203,002.698,001.843,002.068,003.487,000.180,000.495,00000,00015,00000,00001,09488
00030,003.282,002.203,002.653,001.933,002.068,003.487,000.180,000.450,00000,00003,00000,00001,07792
00031,003.282,002.248,002.608,002.068,002.068,003.449,000.180,000.405,00000,00002,00000,00001,09488
00032,001.978,004.181,004.181,000.764,000.764,003.410,000.000,000.000,00000,00000,00000,00001,08640
00033,001.978,000.989,003.777,000.989,000.809,003.410,000.000,000.000,00000,00000,00000,00000,00724
00034,001.978,000.989,003.417,000.899,000.809,003.410,000.000,000.000,00000,00000,00000,00000,07916
00035,001.978,001.169,003.147,000.899,000.809,003.410,000.000,000.000,00000,00000,00000,00000,06079
00036,001.978,002.248,003.057,000.584,000.764,003.410,000.000,000.000,00000,00000,00000,00000,11201
00037,001.978,002.158,002.967,000.809,000.764,003.410,000.000,000.000,00000,00000,00000,00000,07433
00038,001.978,001.214,002.743,000.719,000.764,003.410,000.000,000.000,00000,00000,00000,00000,08449
00039,003.282,001.619,002.608,000.584,000.764,003.565,000.495,000.000,00000,00000,00053,00001,08891
00040,001.978,004.181,002.788,000.719,000.764,003.449,000.000,000.495,00000,00013,00000,00001,08569
00041,001.978,001.304,002.608,000.629,000.764,003.449,000.000,000.000,00000,00000,00000,00000,08711
00042,001.978,000.899,002.383,000.674,000.764,003.449,000.000,000.000,00000,00000,00000,00000,08511
00043,001.978,001.349,002.248,000.809,000.764,003.449,000.000,000.000,00000,00000,00000,00000,08769
00044,001.978,001.708,002.203,000.719,000.764,003.449,000.000,000.000,00000,00000,00015,00000,08604
00045,001.978,001.708,002.158,000.674,000.764,003.565,000.000,000.000,00000,00000,00069,00000,08268
00046,001.978,001.079,002.023,000.584,000.764,003.565,000.000,000.000,00000,00000,00008,00000,06762

=== CAP STATUS SNAPSHOT (a) ===
Field,Value,Raw
Battery,3.62 V,29
Charge,52%,
Panel,0.34 V,
Pressure,0.840 PSI,29
Time,15:14:20,
Mode,Mode 4 (target 3.3 PSI),4
Day High,1.753 PSI,
Day Low,0.000 PSI,
Pump Fail Count,0,
BLE Time Left,0m 00s,
Solar Charging,n/a,

=== HEAD PRESSURE TEST ===
Field,Value
Before (baseline),0.840 PSI (raw 29)
After (pumping),1.065 PSI (raw 34)
Head Pressure (delta),0.225 PSI

=== FAILURE MODE ANALYSIS ===
Field,Result,Detail
Pumping,PASS,0.225 PSI delta
Pump Run Time,PASS,2.3 min/day avg over 47 day(s)
Battery Log Fault,FAIL,6 low-battery inhibit event(s) in log
Same Mode,PASS,All caps match
Correct Mode,PASS,Reads Mode 4; expected Mode 4
Triage Category,charging,
Battery Warning,none,
Data Gaps,Charging status unavailable,
