CSE Marine Diagnostic Report
Customer: elle
Dealer: cse
Expected Mode: Mode 2
Submitted: 7/28/2026, 8:57:51 AM
Cap: CSE_Marine_7002

=== EEPROM ACTIVITY LOG ===
Firmware Version 3.2   Build 2026-07-07   Tag NS   ShipMode 2
LogIndex,TargPress,DHPressure,AHPressure,DLPressure,ALPressure,BattVoltage,AirToAdd,HeadMaxPress,RefVoltage,PumpRunCount,ChrgeCycCount,PumpInhFlag,ActLenDayKnt

=== CAP STATUS SNAPSHOT (a) ===
Field,Value,Raw
Battery,3.70 V,10
Charge,63%,
Panel,0.54 V,
Pressure,0.000 PSI,10
Time,00:00:00,
Mode,Mode 2 (target 2.5 PSI),2
Day High,0.000 PSI,
Day Low,0.000 PSI,
Pump Fail Count,0,
BLE Time Left,0m 00s,
Solar Charging,n/a,

=== HEAD PRESSURE TEST ===
Field,Value
Before (baseline),0.000 PSI (raw 10)
After (pumping),0.000 PSI (raw 10)
Head Pressure (delta),0.000 PSI

=== FAILURE MODE ANALYSIS ===
Field,Result,Detail
Pumping,FAIL,Zero head pressure detected (0.000 PSI delta)
Pump Battery Fault,PASS,3.70 V (63% est.)
Same Mode,PASS,All caps match
Correct Mode,PASS,Reads Mode 2; expected Mode 2
Triage Category,other,
Inconclusive,false,
Inconclusive Reasons,Charging status unavailable; No activity log days to evaluate pump run time; No activity log available for Battery Log Fault check; Not enough data to check pressure target vs. mode,
